EV Charger Registration Code,operator,No. of Charging Outlets,evCpId,plugType,chargingSpeed,PostalCode,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,longitude,latitude
R107427C,CHARGE+ PTE. LTD.,2,R107427C-002,Type 2,7.4,650463,463,BUKIT BATOK STREET 41,WEST PLAINS @ BUKIT BATOK,L3B,141 & 142,Yes,103.7414226,1.3568142
R107429R,CHARGE+ PTE. LTD.,2,R107429R-001,Type 2,7.4,650463,463,BUKIT BATOK STREET 41,WEST PLAINS @ BUKIT BATOK,L3B,143 & 144,Yes,103.7414226,1.3568142
R107429R,CHARGE+ PTE. LTD.,2,R107429R-002,Type 2,7.4,650463,463,BUKIT BATOK STREET 41,WEST PLAINS @ BUKIT BATOK,L3B,143 & 144,Yes,103.7414226,1.3568142
R107551B,CHARGE+ PTE. LTD.,2,R107551B-001,Type 2,7.4,640663,663,JURONG WEST STREET 65,MULTI STOREY CAR PARK,L3A,173 & 172,Yes,103.701765,1.3392139
R107551B,CHARGE+ PTE. LTD.,2,R107551B-002,Type 2,7.4,640663,663,JURONG WEST STREET 65,MULTI STOREY CAR PARK,L3A,173 & 172,Yes,103.701765,1.3392139
R107553Z,CHARGE+ PTE. LTD.,2,R107553Z-001,Type 2,7.4,640663,663,JURONG WEST STREET 65,MULTI STOREY CAR PARK,L3A,175 & 176,Yes,103.701765,1.3392139
R107553Z,CHARGE+ PTE. LTD.,2,R107553Z-002,Type 2,7.4,640663,663,JURONG WEST STREET 65,MULTI STOREY CAR PARK,L3A,175 & 176,Yes,103.701765,1.3392139
R107555G,CHARGE+ PTE. LTD.,2,R107555G-001,Type 2,7.4,610337,337,TAH CHING ROAD,MULTI STOREY CAR PARK,L3A,122 & 123,Yes,103.7225283,1.3382825
R107555G,CHARGE+ PTE. LTD.,2,R107555G-002,Type 2,7.4,610337,337,TAH CHING ROAD,MULTI STOREY CAR PARK,L3A,122 & 123,Yes,103.7225283,1.3382825
R107556R,CHARGE+ PTE. LTD.,2,R107556R-001,Type 2,7.4,610337,337,TAH CHING ROAD,MULTI STOREY CAR PARK,L3A,140 & MC81,Yes,103.7225283,1.3382825
R107556R,CHARGE+ PTE. LTD.,2,R107556R-002,Type 2,7.4,610337,337,TAH CHING ROAD,MULTI STOREY CAR PARK,L3A,140 & MC81,Yes,103.7225283,1.3382825
R107557D,CHARGE+ PTE. LTD.,2,R107557D-001,Type 2,7.4,610337,337,TAH CHING ROAD,MULTI STOREY CAR PARK,L3A,142 & 141,Yes,103.7225283,1.3382825
R107557D,CHARGE+ PTE. LTD.,2,R107557D-002,Type 2,7.4,610337,337,TAH CHING ROAD,MULTI STOREY CAR PARK,L3A,142 & 141,Yes,103.7225283,1.3382825
R107559A,CHARGE+ PTE. LTD.,2,R107559A-001,Type 2,7.4,611121,121A,YUAN CHING ROAD,MULTI STOREY CAR PARK,L3A,86 & 87,Yes,103.7245298,1.3362079
R107559A,CHARGE+ PTE. LTD.,2,R107559A-002,Type 2,7.4,611121,121A,YUAN CHING ROAD,MULTI STOREY CAR PARK,L3A,86 & 87,Yes,103.7245298,1.3362079
R107602C,CHARGE+ PTE. LTD.,2,R107602C-001,CCS 2,120,629977,14,BENOI CRESCENT,,L1,,Yes,103.6917987,1.3198641
R107602C,CHARGE+ PTE. LTD.,2,R107602C-002,CCS 2,120,629977,14,BENOI CRESCENT,,L1,,Yes,103.6917987,1.3198641
R107629Z,CHARGE+ PTE. LTD.,2,R107629Z-001,Type 2,7.4,681675,675A,CHOA CHU KANG CRESCENT,MULTI STOREY CAR PARK,L3,288 & MC82,Yes,103.7466707,1.401196
R107629Z,CHARGE+ PTE. LTD.,2,R107629Z-002,Type 2,7.4,681675,675A,CHOA CHU KANG CRESCENT,MULTI STOREY CAR PARK,L3,288 & MC82,Yes,103.7466707,1.401196
R107645F,CHARGE+ PTE. LTD.,2,R107645F-001,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,106 & 107,Yes,103.7423229,1.360527
R107645F,CHARGE+ PTE. LTD.,2,R107645F-002,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,106 & 107,Yes,103.7423229,1.360527
R107646Z,CHARGE+ PTE. LTD.,2,R107646Z-001,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,108 & 109,Yes,103.7423229,1.360527
R107646Z,CHARGE+ PTE. LTD.,2,R107646Z-002,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,108 & 109,Yes,103.7423229,1.360527
R107647C,CHARGE+ PTE. LTD.,2,R107647C-001,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,110 & 111,Yes,103.7423229,1.360527
R107647C,CHARGE+ PTE. LTD.,2,R107647C-002,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,110 & 111,Yes,103.7423229,1.360527
R107648G,CHARGE+ PTE. LTD.,2,R107648G-001,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,112 & 113,Yes,103.7423229,1.360527
R107648G,CHARGE+ PTE. LTD.,2,R107648G-002,Type 2,7.4,650432,432,BUKIT BATOK WEST AVENUE 8,WEST SCAPE @ BUKIT BATOK,L3A,112 & 113,Yes,103.7423229,1.360527
R107649R,CHARGE+ PTE. LTD.,2,R107649R-001,Type 2,7.4,680819,819,KEAT HONG LINK,KEAT HONG VERGE,L3B,75 & 76,Yes,103.7497119,1.3751237
R107649R,CHARGE+ PTE. LTD.,2,R107649R-002,Type 2,7.4,680819,819,KEAT HONG LINK,KEAT HONG VERGE,L3B,75 & 76,Yes,103.7497119,1.3751237
R107818Z,CHARGE+ PTE. LTD.,2,R107818Z-001,Type 2,7.4,238858,277,ORCHARD ROAD,JEN SINGAPORE ORCHARDGATEWAY BY SHANGRI-LA,L7,8 & 9,Yes,103.8394428,1.3004433
R107818Z,CHARGE+ PTE. LTD.,2,R107818Z-002,Type 2,7.4,238858,277,ORCHARD ROAD,JEN SINGAPORE ORCHARDGATEWAY BY SHANGRI-LA,L7,8 & 9,Yes,103.8394428,1.3004433
R107864B,CHARGE+ PTE. LTD.,2,R107864B-001,CCS 2,120,338729,114,LAVENDER STREET,CT HUB 2,L1,8 & 9,Yes,103.8633751,1.3115879
R107864B,CHARGE+ PTE. LTD.,2,R107864B-002,CCS 2,120,338729,114,LAVENDER STREET,CT HUB 2,L1,8 & 9,Yes,103.8633751,1.3115879
R108263R,CHARGE+ PTE. LTD.,2,R108263R-001,Type 2,7.4,247913,33,TANGLIN ROAD,SAINT REGIS RESIDENCES SINGAPORE,B2,23 & 24,Yes,103.8266023,1.3055699
R108263R,CHARGE+ PTE. LTD.,2,R108263R-002,Type 2,7.4,247913,33,TANGLIN ROAD,SAINT REGIS RESIDENCES SINGAPORE,B2,23 & 24,Yes,103.8266023,1.3055699
R108885F,CHARGE+ PTE. LTD.,2,R108885F-001,Type 2,7.4,320090,90,WHAMPOA DRIVE,WHAMPOA DRIVE MAKAN PLACE,L1,43 AND 44,Yes,103.8545043,1.3230185
R108885F,CHARGE+ PTE. LTD.,2,R108885F-002,Type 2,7.4,320090,90,WHAMPOA DRIVE,WHAMPOA DRIVE MAKAN PLACE,L1,43 AND 44,Yes,103.8545043,1.3230185
R108970G,CHARGE+ PTE. LTD.,2,R108970G-001,CCS 2,120,117867,27,WEST COAST HIGHWAY,WESTWAY,L1,61 & 62,Yes,103.7804923,1.2831067
R108970G,CHARGE+ PTE. LTD.,2,R108970G-002,CCS 2,120,117867,27,WEST COAST HIGHWAY,WESTWAY,L1,61 & 62,Yes,103.7804923,1.2831067
R108971R,CHARGE+ PTE. LTD.,2,R108971R-001,CCS 2,120,409030,178,PAYA LEBAR ROAD,PAYA LEBAR 178,LQ,63 & 64,Yes,103.8901693,1.3298711
